ID,COLL_NOM,COLL_SIRET,ARR_OBJET,ARR_CONSIDERANT,ARR_DATE_CREATION,ARR_EST_MAJ,ARR_INSEE,ARR_REF,ARR_URL,REGL_ARTICLE,REGL_SOUS_ARTICLE,REGL_MODALITE,ZONE_TYPE,ZONE_REF,VEH_TYPE,VEH_PTAC,VEH_LONG,VEH_LARG,VEH_HAUT,VEH_USAGE,VEH_CQA,PERIODE_DEBUT,PERIODE_JH,INTERV_DUREE,INTERV_HMAX,SECTION_VOIE,SECTION_COTE,SECTION_DEBUT_POINT,SECTION_DEBUT_REF,SECTION_FIN_POINT,SECTION_FIN_REF,GEOM_JSON,GEOM_WKT,GEOM_SOURCE
61,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,Commune entière,6033,Tous véhicules,,,,,,,,,,,,Deux côtés,,,,,,,
62,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,Commune entière,6033,Poids Lourds,,,,,,,,,,,,Deux côtés,,,,,,,
63,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,Commune entière,6033,Poids Lourds,,,,,Autocars,,,,,,,Deux côtés,,,,,,,
64,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Chemin des Baraques,Deux côtés,,,,,,,
65,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Chemin de Bonvillars,Deux côtés,,,,,,,
66,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Chemin de la Calade,Deux côtés,,,,,,,
67,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Chemin de la Chapelle,Deux côtés,,,,,,,
68,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Chemin du Claret,Deux côtés,,,,,,,
69,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Chemin du Clos de Ripert,Deux côtés,,,,,,,
70,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Boulevard Colle Belle,Deux côtés,,,,,,,
71,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Chemin de la Culasse,Deux côtés,,,,,,,
72,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Chemin de l’Emigra,Deux côtés,,,,,,,
73,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Interdit,,,Poids Lourds,19,,,,,,,,,,Chemin de l’Escas de Nouguie,Deux côtés,,,,,,,
74,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Chemin des Baraques,Deux côtés,,,,,,,
75,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Chemin de Bonvillars,Deux côtés,,,,,,,
76,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Chemin de la Calade,Deux côtés,,,,,,,
77,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Chemin de la Chapelle,Deux côtés,,,,,,,
78,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Chemin du Claret,Deux côtés,,,,,,,
79,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Chemin du Clos de Ripert,Deux côtés,,,,,,,
80,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Boulevard Colle Belle,Deux côtés,,,,,,,
81,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Chemin de la Culasse,Deux côtés,,,,,,,
82,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Chemin de l’Emigra,Deux côtés,,,,,,,
83,Commune de Carros,,,,2018/04/11,,6033,N/C,,4,,Autorise,,,Poids Lourds,19,,,,Services publics,,,,,,Chemin de l’Escas de Nouguie,Deux côtés,,,,,,,
